numero_alimento,descricao,categoria,energia_kcal,proteina_g,lipideos_g,carboidrato_g,fibra_g,base,preparo,qualificadores
340,"Carne, bovina, contra-filé, à milanesa",Carnes e derivados,351.59,20.61,24,12.17,0.37,Carne,,"bovina, contra-filé, à milanesa"
341,"Carne, bovina, contra-filé de costela, cru",Carnes e derivados,202.44,19.8,13.07,0,,Carne,cru,"bovina, contra-filé de costela"
342,"Carne, bovina, contra-filé de costela, grelhado",Carnes e derivados,274.91,29.88,16.33,0,,Carne,grelhado,"bovina, contra-filé de costela"
343,"Carne, bovina, contra-filé, com gordura, cru",Carnes e derivados,205.86,21.15,12.81,0,,Carne,cru,"bovina, contra-filé, com gordura"
344,"Carne, bovina, contra-filé, com gordura, grelhado",Carnes e derivados,278.05,32.4,15.49,0,,Carne,grelhado,"bovina, contra-filé, com gordura"
345,"Carne, bovina, contra-filé, sem gordura, cru",Carnes e derivados,156.62,24,6,0,,Carne,cru,"bovina, contra-filé, sem gordura"
346,"Carne, bovina, contra-filé, sem gordura, grelhado",Carnes e derivados,193.69,35.88,4.49,0,,Carne,grelhado,"bovina, contra-filé, sem gordura"
347,"Carne, bovina, costela, assada",Carnes e derivados,373.04,28.81,27.72,0,,Carne,assado,"bovina, costela"
348,"Carne, bovina, costela, crua",Carnes e derivados,357.72,16.71,31.75,0,,Carne,cru,"bovina, costela"
349,"Carne, bovina, coxão duro, sem gordura, cozido",Carnes e derivados,216.62,31.88,8.92,0,,Carne,cozido,"bovina, coxão duro, sem gordura"
350,"Carne, bovina, coxão duro, sem gordura, cru",Carnes e derivados,147.97,21.51,6.22,0,,Carne,cru,"bovina, coxão duro, sem gordura"
351,"Carne, bovina, coxão mole, sem gordura, cozido",Carnes e derivados,218.68,32.38,8.91,0,,Carne,cozido,"bovina, coxão mole, sem gordura"
352,"Carne, bovina, coxão mole, sem gordura, cru",Carnes e derivados,169.07,21.23,8.69,0,,Carne,cru,"bovina, coxão mole, sem gordura"
353,"Carne, bovina, cupim, assado",Carnes e derivados,330.1,28.63,23.04,0,,Carne,assado,"bovina, cupim"
354,"Carne, bovina, cupim, cru",Carnes e derivados,221.4,19.54,15.3,0,,Carne,cru,"bovina, cupim"
355,"Carne, bovina, fígado, cru",Carnes e derivados,141.05,20.71,5.36,1.11,,Carne,cru,"bovina, fígado"
356,"Carne, bovina, fígado, grelhado",Carnes e derivados,225.03,29.86,9.01,4.2,,Carne,grelhado,"bovina, fígado"
357,"Carne, bovina, filé mingnon, sem gordura, cru",Carnes e derivados,142.86,21.6,5.61,0,,Carne,cru,"bovina, filé mingnon, sem gordura"
358,"Carne, bovina, filé mingnon, sem gordura, grelhado",Carnes e derivados,219.7,32.8,8.83,0,,Carne,grelhado,"bovina, filé mingnon, sem gordura"
359,"Carne, bovina, flanco, sem gordura, cozido",Carnes e derivados,195.58,29.38,7.77,0,,Carne,cozido,"bovina, flanco, sem gordura"
360,"Carne, bovina, flanco, sem gordura, cru",Carnes e derivados,141.46,20,6.22,0,,Carne,cru,"bovina, flanco, sem gordura"
361,"Carne, bovina, fraldinha, com gordura, cozida",Carnes e derivados,338.45,24.24,26.05,0,,Carne,cozido,"bovina, fraldinha, com gordura"
362,"Carne, bovina, fraldinha, com gordura, crua",Carnes e derivados,220.72,17.58,16.15,0,,Carne,cru,"bovina, fraldinha, com gordura"
363,"Carne, bovina, lagarto, cozido",Carnes e derivados,222.47,32.86,9.11,0,,Carne,cozido,"bovina, lagarto"
364,"Carne, bovina, lagarto, cru",Carnes e derivados,134.86,20.54,5.23,0,,Carne,cru,"bovina, lagarto"
365,"Carne, bovina, língua, cozida",Carnes e derivados,314.9,21.37,24.8,0,,Carne,cozido,"bovina, língua"
366,"Carne, bovina, língua, crua",Carnes e derivados,215.25,17.09,15.77,0,,Carne,cru,"bovina, língua"
367,"Carne, bovina, maminha, crua",Carnes e derivados,152.77,20.93,7.03,0,,Carne,cru,"bovina, maminha"
368,"Carne, bovina, maminha, grelhada",Carnes e derivados,153.09,30.74,2.42,0,,Carne,grelhado,"bovina, maminha"
369,"Carne, bovina, miolo de alcatra, sem gordura, cru",Carnes e derivados,162.87,21.61,7.83,0,,Carne,cru,"bovina, miolo de alcatra, sem gordura"
370,"Carne, bovina, miolo de alcatra, sem gordura, grelhado",Carnes e derivados,241.36,31.93,11.64,0,,Carne,grelhado,"bovina, miolo de alcatra, sem gordura"
371,"Carne, bovina, músculo, sem gordura, cozido",Carnes e derivados,193.8,31.23,6.7,0,,Carne,cozido,"bovina, músculo, sem gordura"
372,"Carne, bovina, músculo, sem gordura, cru",Carnes e derivados,141.58,21.56,5.49,0,,Carne,cru,"bovina, músculo, sem gordura"
373,"Carne, bovina, paleta, com gordura, crua",Carnes e derivados,158.71,21.41,7.46,0,,Carne,cru,"bovina, paleta, com gordura"
374,"Carne, bovina, paleta, sem gordura, cozida",Carnes e derivados,193.65,29.72,7.4,0,,Carne,cozido,"bovina, paleta, sem gordura"
375,"Carne, bovina, paleta, sem gordura, crua",Carnes e derivados,140.94,21.03,5.67,0,,Carne,cru,"bovina, paleta, sem gordura"
376,"Carne, bovina, patinho, sem gordura, cru",Carnes e derivados,133.47,21.72,4.51,0,,Carne,cru,"bovina, patinho, sem gordura"
377,"Carne, bovina, patinho, sem gordura, grelhado",Carnes e derivados,219.26,35.9,7.31,0,,Carne,grelhado,"bovina, patinho, sem gordura"
378,"Carne, bovina, peito, sem gordura, cozido",Carnes e derivados,338.47,22.25,26.99,0,,Carne,cozido,"bovina, peito, sem gordura"
379,"Carne, bovina, peito, sem gordura, cru",Carnes e derivados,259.28,17.56,20.43,0,,Carne,cru,"bovina, peito, sem gordura"
380,"Carne, bovina, picanha, com gordura, crua",Carnes e derivados,212.88,18.82,14.69,0,,Carne,cru,"bovina, picanha, com gordura"
381,"Carne, bovina, picanha, com gordura, grelhada",Carnes e derivados,288.77,26.42,19.51,0,,Carne,grelhado,"bovina, picanha, com gordura"
382,"Carne, bovina, picanha, sem gordura, crua",Carnes e derivados,133.52,21.25,4.74,0,,Carne,cru,"bovina, picanha, sem gordura"
383,"Carne, bovina, picanha, sem gordura, grelhada",Carnes e derivados,238.47,31.91,11.33,0,,Carne,grelhado,"bovina, picanha, sem gordura"
384,"Carne, bovina, seca, cozida",Carnes e derivados,312.8,26.93,21.93,0,,Carne,cozido,"bovina, seca"
385,"Carne, bovina, seca, crua",Carnes e derivados,312.75,19.66,25.37,0,,Carne,cru,"bovina, seca"
386,"Coxinha de frango, frita",Carnes e derivados,283.05,9.61,11.84,34.52,4.97,Coxinha de frango,frito,
387,"Croquete, de carne, cru",Carnes e derivados,245.77,12.04,15.56,13.95,,Croquete,cru,de carne
388,"Croquete, de carne, frito",Carnes e derivados,346.74,16.86,22.67,18.15,,Croquete,frito,de carne
389,"Empada de frango, pré-cozida, assada",Carnes e derivados,358.19,6.94,15.61,47.49,2.16,Empada de frango,cozido,assada
390,"Empada, de frango, pré-cozida",Carnes e derivados,377.48,7.34,22.89,35.53,2.22,Empada,cozido,de frango
391,"Frango, asa, com pele, crua",Carnes e derivados,213.19,18.1,15.07,0,,Frango,cru,"asa, com pele"
392,"Frango, caipira, inteiro, com pele, cozido",Carnes e derivados,242.89,23.88,15.62,0,,Frango,cozido,"caipira, inteiro, com pele"
393,"Frango, caipira, inteiro, sem pele, cozido",Carnes e derivados,195.76,29.57,7.7,0,,Frango,cozido,"caipira, inteiro, sem pele"
394,"Frango, coração, cru",Carnes e derivados,221.5,12.58,18.6,0,,Frango,cru,coração
395,"Frango, coração, grelhado",Carnes e derivados,207.27,22.44,12.1,0.61,,Frango,grelhado,coração
396,"Frango, coxa, com pele, assada",Carnes e derivados,215.12,28.49,10.36,0.06,,Frango,assado,"coxa, com pele"
397,"Frango, coxa, com pele, crua",Carnes e derivados,161.47,17.09,9.81,0,,Frango,cru,"coxa, com pele"
398,"Frango, coxa, sem pele, cozida",Carnes e derivados,167.43,26.86,5.85,0,,Frango,cozido,"coxa, sem pele"
399,"Frango, coxa, sem pele, crua",Carnes e derivados,119.95,17.81,4.86,0.02,,Frango,cru,"coxa, sem pele"
400,"Frango, fígado, cru",Carnes e derivados,106.48,17.59,3.49,0,,Frango,cru,fígado
401,"Frango, filé, à milanesa",Carnes e derivados,220.87,28.46,7.79,7.51,1.13,Frango,,"filé, à milanesa"
402,"Frango, inteiro, com pele, cru",Carnes e derivados,226.32,16.44,17.31,0,,Frango,cru,"inteiro, com pele"
403,"Frango, inteiro, sem pele, assado",Carnes e derivados,187.34,28.02,7.5,0,,Frango,assado,"inteiro, sem pele"
404,"Frango, inteiro, sem pele, cozido",Carnes e derivados,170.39,24.99,7.06,0,,Frango,cozido,"inteiro, sem pele"
405,"Frango, inteiro, sem pele, cru",Carnes e derivados,129.1,20.59,4.57,0,,Frango,cru,"inteiro, sem pele"
406,"Frango, peito, com pele, assado",Carnes e derivados,211.68,33.42,7.65,0,,Frango,assado,"peito, com pele"
407,"Frango, peito, com pele, cru",Carnes e derivados,149.47,20.78,6.73,0,,Frango,cru,"peito, com pele"
408,"Frango, peito, sem pele, cozido",Carnes e derivados,162.87,31.47,3.16,0,,Frango,cozido,"peito, sem pele"
409,"Frango, peito, sem pele, cru",Carnes e derivados,119.16,21.53,3.02,0,,Frango,cru,"peito, sem pele"
410,"Frango, peito, sem pele, grelhado",Carnes e derivados,159.19,32.03,2.48,0,,Frango,grelhado,"peito, sem pele"
411,"Frango, sobrecoxa, com pele, assada",Carnes e derivados,259.6,28.7,15.19,0,,Frango,assado,"sobrecoxa, com pele"
412,"Frango, sobrecoxa, com pele, crua",Carnes e derivados,254.53,15.46,20.9,0,,Frango,cru,"sobrecoxa, com pele"
413,"Frango, sobrecoxa, sem pele, assada",Carnes e derivados,232.88,29.18,12.01,0,,Frango,assado,"sobrecoxa, sem pele"
414,"Frango, sobrecoxa, sem pele, crua",Carnes e derivados,161.8,17.57,9.62,0,,Frango,cru,"sobrecoxa, sem pele"
415,"Hambúrguer, bovino, cru",Carnes e derivados,214.84,13.16,16.18,4.15,,Hambúrguer,cru,bovino
416,"Hambúrguer, bovino, frito",Carnes e derivados,258.28,19.97,17.01,6.32,,Hambúrguer,frito,bovino
417,"Hambúrguer, bovino, grelhado",Carnes e derivados,209.83,13.16,12.43,11.33,,Hambúrguer,grelhado,bovino
418,"Lingüiça, frango, crua",Carnes e derivados,218.11,14.24,17.44,0,,Lingüiça,cru,frango
419,"Lingüiça, frango, frita",Carnes e derivados,245.46,18.32,18.54,0,,Lingüiça,frito,frango
420,"Lingüiça, frango, grelhada",Carnes e derivados,243.66,18.19,18.4,0,,Lingüiça,grelhado,frango
421,"Lingüiça, porco, crua",Carnes e derivados,227.2,16.06,17.58,0,,Lingüiça,cru,porco
422,"Lingüiça, porco, frita",Carnes e derivados,279.54,20.45,21.31,0,,Lingüiça,frito,porco
423,"Lingüiça, porco, grelhada",Carnes e derivados,296.49,23.17,21.9,0,,Lingüiça,grelhado,porco
424,Mortadela,Carnes e derivados,268.82,11.95,21.65,5.82,,Mortadela,,
425,"Peru, congelado, assado",Carnes e derivados,163.07,26.2,5.67,0,,Peru,assado,congelado
426,"Peru, congelado, cru",Carnes e derivados,93.72,18.08,1.83,0,,Peru,cru,congelado
427,"Porco, bisteca, crua",Carnes e derivados,164.12,21.5,8.02,0,,Porco,cru,bisteca
428,"Porco, bisteca, frita",Carnes e derivados,311.17,33.75,18.52,0,,Porco,frito,bisteca
429,"Porco, bisteca, grelhada",Carnes e derivados,280.08,28.89,17.38,0,,Porco,grelhado,bisteca
430,"Porco, costela, assada",Carnes e derivados,402.17,30.22,30.28,0,,Porco,assado,costela
431,"Porco, costela, crua",Carnes e derivados,255.61,18,19.82,0,,Porco,cru,costela
432,"Porco, lombo, assado",Carnes e derivados,210.23,35.73,6.4,0,,Porco,assado,lombo
433,"Porco, lombo, cru",Carnes e derivados,175.63,22.6,8.77,0,,Porco,cru,lombo
434,"Porco, orelha, salgada, crua",Carnes e derivados,258.49,18.52,19.89,0,,Porco,cru,"orelha, salgada"
435,"Porco, pernil, assado",Carnes e derivados,262.26,32.13,13.86,0,,Porco,assado,pernil
436,"Porco, pernil, cru",Carnes e derivados,186.06,20.12,11.1,0,,Porco,cru,pernil
437,"Porco, rabo, salgado, cru",Carnes e derivados,377.42,15.58,34.47,0,,Porco,cru,"rabo, salgado"
438,"Presunto, com capa de gordura",Carnes e derivados,127.85,14.37,6.77,1.4,,Presunto,,com capa de gordura
439,"Presunto, sem capa de gordura",Carnes e derivados,93.74,14.29,2.71,2.15,,Presunto,,sem capa de gordura
440,"Quibe, assado",Carnes e derivados,136.23,14.59,2.68,12.86,1.9,Quibe,assado,
441,"Quibe, cru",Carnes e derivados,109.49,12.35,1.67,10.77,1.65,Quibe,cru,
442,"Quibe, frito",Carnes e derivados,253.83,14.89,15.8,12.34,,Quibe,frito,
443,Salame,Carnes e derivados,397.84,25.81,30.64,2.91,,Salame,,
444,"Toucinho, cru",Carnes e derivados,592.53,11.48,60.26,0,,Toucinho,cru,
445,"Toucinho, frito",Carnes e derivados,696.56,27.28,64.31,0,,Toucinho,frito,
446,"Bebida láctea, pêssego",Leite e derivados,55.16,2.13,1.91,7.57,0.29,Bebida láctea,,pêssego
447,Creme de Leite,Leite e derivados,221.48,1.51,22.48,4.51,,Creme de Leite,,
448,"Iogurte, natural",Leite e derivados,51.49,4.06,3.04,1.92,,Iogurte,,natural
449,"Iogurte, natural, desnatado",Leite e derivados,41.49,3.83,0.32,5.77,,Iogurte,,"natural, desnatado"
450,"Iogurte, sabor abacaxi",Leite e derivados,,,,,,Iogurte,,sabor abacaxi
451,"Iogurte, sabor morango",Leite e derivados,69.57,2.71,2.33,9.69,0.22,Iogurte,,sabor morango
452,"Iogurte, sabor pêssego",Leite e derivados,67.85,2.53,2.34,9.43,0.72,Iogurte,,sabor pêssego
453,"Leite, condensado",Leite e derivados,312.57,7.67,6.74,57,,Leite,,condensado
454,"Leite, de cabra",Leite e derivados,66.42,3.07,3.75,5.25,,Leite,,de cabra
455,"Leite, de vaca, achocolatado",Leite e derivados,82.82,2.1,2.17,14.16,0.65,Leite,,"de vaca, achocolatado"
456,"Leite, de vaca, desnatado, pó",Leite e derivados,361.61,34.69,0.93,53.04,,Leite,,"de vaca, desnatado, pó"
457,"Leite, de vaca, desnatado, UHT",Leite e derivados,,,,,,Leite,,"de vaca, desnatado, UHT"
458,"Leite, de vaca, integral",Leite e derivados,,,,,,Leite,,"de vaca, integral"
459,"Leite, de vaca, integral, pó",Leite e derivados,496.65,25.42,26.9,39.18,,Leite,,"de vaca, integral, pó"
460,"Leite, fermentado",Leite e derivados,69.62,1.89,0.1,15.67,,Leite,,fermentado
461,"Queijo, minas, frescal",Leite e derivados,264.27,17.41,20.18,3.24,,Queijo,,"minas, frescal"
462,"Queijo, minas, meia cura",Leite e derivados,320.72,21.21,24.61,3.57,,Queijo,,"minas, meia cura"
463,"Queijo, mozarela",Leite e derivados,329.87,22.65,25.18,3.05,,Queijo,,mozarela
464,"Queijo, parmesão",Leite e derivados,452.96,35.55,33.53,1.66,,Queijo,,parmesão
465,"Queijo, pasteurizado",Leite e derivados,303.08,9.36,27.44,5.68,,Queijo,,pasteurizado
466,"Queijo, petit suisse, morango",Leite e derivados,121.11,5.79,2.84,18.46,,Queijo,,"petit suisse, morango"
467,"Queijo, prato",Leite e derivados,359.88,22.66,29.11,1.88,,Queijo,,prato
468,"Queijo, requeijão, cremoso",Leite e derivados,256.58,9.63,23.44,2.43,,Queijo,,"requeijão, cremoso"
469,"Queijo, ricota",Leite e derivados,139.73,12.6,8.11,3.79,,Queijo,,ricota
470,"Bebida isotônica, sabores variados",Bebidas (alcoólicas e não alcoólicas),25.61,0,0,6.4,,Bebida isotônica,,sabores variados
471,"Café, infusão 10%",Bebidas (alcoólicas e não alcoólicas),9.07,0.71,0.07,1.48,,Café,,infusão 10%
472,"Cana, aguardente 1",Bebidas (alcoólicas e não alcoólicas),215.66,,,,,Cana,,aguardente 1
473,"Cana, caldo de",Bebidas (alcoólicas e não alcoólicas),65.34,0,0,18.15,0.14,Cana,,caldo de
474,"Cerveja, pilsen 2",Bebidas (alcoólicas e não alcoólicas),40.72,0.56,0,3.32,,Cerveja,,pilsen 2
475,"Chá, erva-doce, infusão 5%",Bebidas (alcoólicas e não alcoólicas),1.4,0,0,0.39,,Chá,,"erva-doce, infusão 5%"
476,"Chá, mate, infusão 5%",Bebidas (alcoólicas e não alcoólicas),2.73,0,0.05,0.64,,Chá,,"mate, infusão 5%"
477,"Chá, preto, infusão 5%",Bebidas (alcoólicas e não alcoólicas),2.25,0,0,0.63,,Chá,,"preto, infusão 5%"
478,"Coco, água de",Bebidas (alcoólicas e não alcoólicas),21.51,0,0,5.28,0.13,Coco,,água de
479,"Refrigerante, tipo água tônica",Bebidas (alcoólicas e não alcoólicas),30.78,0,0,7.95,,Refrigerante,,tipo água tônica
480,"Refrigerante, tipo cola",Bebidas (alcoólicas e não alcoólicas),33.51,0,0,8.66,,Refrigerante,,tipo cola
481,"Refrigerante, tipo guaraná",Bebidas (alcoólicas e não alcoólicas),38.7,0,0,10,,Refrigerante,,tipo guaraná
482,"Refrigerante, tipo laranja",Bebidas (alcoólicas e não alcoólicas),45.63,0,0,11.79,,Refrigerante,,tipo laranja
483,"Refrigerante, tipo limão",Bebidas (alcoólicas e não alcoólicas),39.72,0,0,10.26,,Refrigerante,,tipo limão
484,"Omelete, de queijo",Ovos e derivados,268.01,15.57,22.01,0.44,,Omelete,,de queijo
485,"Ovo, de codorna, inteiro, cru",Ovos e derivados,176.89,13.69,12.68,0.77,,Ovo,cru,"de codorna, inteiro"
486,"Ovo, de galinha, clara, cozida/10minutos",Ovos e derivados,59.44,13.45,0.09,0,,Ovo,,"de galinha, clara, cozida/10minutos"
487,"Ovo, de galinha, gema, cozida/10minutos",Ovos e derivados,352.67,15.9,30.78,1.56,,Ovo,,"de galinha, gema, cozida/10minutos"
488,"Ovo, de galinha, inteiro, cozido/10minutos",Ovos e derivados,145.7,13.29,9.48,0.61,,Ovo,,"de galinha, inteiro, cozido/10minutos"
489,"Ovo, de galinha, inteiro, cru",Ovos e derivados,143.11,13.03,8.9,1.64,,Ovo,cru,"de galinha, inteiro"
490,"Ovo, de galinha, inteiro, frito",Ovos e derivados,240.19,15.62,18.59,1.19,,Ovo,frito,"de galinha, inteiro"
491,"Achocolatado, pó",Produtos açucarados,401.02,4.2,2.17,91.18,3.89,Achocolatado,,pó
492,"Açúcar, cristal",Produtos açucarados,386.85,0.32,0,99.61,,Açúcar,,cristal
493,"Açúcar, mascavo",Produtos açucarados,368.55,0.76,0.09,94.45,,Açúcar,,mascavo
494,"Açúcar, refinado",Produtos açucarados,386.57,0.32,0,99.54,,Açúcar,,refinado
495,"Chocolate, ao leite",Produtos açucarados,539.59,7.22,30.27,59.58,2.17,Chocolate,,ao leite
496,"Chocolate, ao leite, com castanha do Pará",Produtos açucarados,558.88,7.41,34.19,55.38,2.46,Chocolate,,"ao leite, com castanha do Pará"
497,"Chocolate, ao leite, dietético",Produtos açucarados,556.82,6.9,33.77,56.32,2.85,Chocolate,,"ao leite, dietético"
498,"Chocolate, meio amargo",Produtos açucarados,474.92,4.86,29.86,62.42,4.94,Chocolate,,meio amargo
499,Cocada branca,Produtos açucarados,448.85,1.12,13.59,81.38,3.57,Cocada branca,,
500,"Doce, de abóbora, cremoso",Produtos açucarados,198.94,0.92,0.21,54.61,2.28,Doce,,"de abóbora, cremoso"
501,"Doce, de leite, cremoso",Produtos açucarados,306.31,5.48,5.99,59.49,,Doce,,"de leite, cremoso"
502,"Geléia, mocotó, natural",Produtos açucarados,106.09,2.12,0.07,24.23,,Geléia,,"mocotó, natural"
503,Glicose de milho,Produtos açucarados,292.12,0,0,79.38,,Glicose de milho,,
504,Maria mole,Produtos açucarados,301.24,3.81,0.19,73.55,0.67,Maria mole,,
505,"Maria mole, coco queimado",Produtos açucarados,306.63,3.93,0.09,75.06,0.64,Maria mole,,coco queimado
506,Marmelada,Produtos açucarados,257.24,0.4,0.14,70.76,4.07,Marmelada,,
507,"Mel, de abelha",Produtos açucarados,309.24,0,0,84.03,,Mel,,de abelha
508,Melado,Produtos açucarados,296.51,0,0,76.62,,Melado,,
509,Quindim,Produtos açucarados,411.35,4.74,24.43,46.3,3.22,Quindim,,
510,Rapadura,Produtos açucarados,351.96,0.99,0.07,90.79,,Rapadura,,
511,"Café, pó, torrado",Miscelâneas,418.62,14.7,11.95,65.75,51.23,Café,torrado,pó
512,"Capuccino, pó",Miscelâneas,417.41,11.31,8.63,73.61,2.44,Capuccino,,pó
513,"Fermento em pó, químico",Miscelâneas,89.72,0.48,0.07,43.91,,Fermento em pó,,químico
514,"Fermento, biológico, levedura, tablete",Miscelâneas,89.79,16.96,1.52,7.7,4.17,Fermento,,"biológico, levedura, tablete"
515,"Gelatina, sabores variados, pó",Miscelâneas,380.22,8.89,0,89.22,,Gelatina,,"sabores variados, pó"
516,"Sal, dietético",Miscelâneas,,,,,,Sal,,dietético
517,"Sal, grosso",Miscelâneas,,,,,,Sal,,grosso
518,Shoyu,Miscelâneas,60.93,3.31,0.33,11.65,,Shoyu,,
519,Tempero a base de sal,Miscelâneas,21.33,2.67,0.26,2.07,0.56,Tempero a base de sal,,
520,"Azeitona, preta, conserva",Outros alimentos industrializados,194.15,1.16,20.34,5.54,4.55,Azeitona,,"preta, conserva"
521,"Azeitona, verde, conserva",Outros alimentos industrializados,136.94,0.95,14.22,4.1,3.85,Azeitona,,"verde, conserva"
522,"Chantilly, spray, com gordura vegetal",Outros alimentos industrializados,314.96,0.53,27.27,16.86,,Chantilly,,"spray, com gordura vegetal"
523,"Leite, de coco",Outros alimentos industrializados,166.16,1.01,18.36,2.19,0.68,Leite,,de coco
524,"Maionese, tradicional com ovos",Outros alimentos industrializados,302.15,0.58,30.5,7.9,,Maionese,,tradicional com ovos
525,Acarajé,Alimentos preparados,289.21,8.35,19.93,19.11,9.36,Acarajé,,
526,Arroz carreteiro,Alimentos preparados,153.77,10.83,7.12,11.58,1.5,Arroz carreteiro,,
527,"Baião de dois, arroz e feijão-de-corda",Alimentos preparados,135.68,6.24,3.23,20.42,5.07,Baião de dois,,arroz e feijão-de-corda
528,Barreado,Alimentos preparados,164.98,18.27,9.53,0.24,0.15,Barreado,,
529,"Bife à cavalo, com contra filé",Alimentos preparados,291.23,23.66,21.15,0,,Bife à cavalo,,com contra filé
530,Bolinho de arroz,Alimentos preparados,273.51,8.04,8.29,41.68,2.74,Bolinho de arroz,,
531,Camarão à baiana,Alimentos preparados,100.78,7.94,5.97,3.17,0.39,Camarão à baiana,,
532,"Charuto, de repolho",Alimentos preparados,78.23,6.78,1.12,10.13,1.46,Charuto,,de repolho
533,"Cuscuz, de milho, cozido com sal",Alimentos preparados,113.46,2.16,0.68,25.28,2.05,Cuscuz,,"de milho, cozido com sal"
534,"Cuscuz, paulista",Alimentos preparados,142.12,2.56,4.65,22.51,2.43,Cuscuz,,paulista
535,"Cuxá, molho",Alimentos preparados,80.09,5.64,3.59,5.74,3.02,Cuxá,,molho
536,Dobradinha,Alimentos preparados,124.5,19.77,4.44,0,,Dobradinha,,
537,Estrogonofe de carne,Alimentos preparados,173.14,15.03,10.8,2.98,,Estrogonofe de carne,,
538,Estrogonofe de frango,Alimentos preparados,156.81,17.55,7.96,2.59,,Estrogonofe de frango,,
539,Feijão tropeiro mineiro,Alimentos preparados,151.56,10.17,6.79,19.58,3.57,Feijão tropeiro mineiro,,
540,Feijoada,Alimentos preparados,116.93,8.67,6.48,11.64,5.09,Feijoada,,
541,"Frango, com açafrão",Alimentos preparados,112.78,9.7,6.17,4.06,0.22,Frango,,com açafrão
542,"Macarrão, molho bolognesa",Alimentos preparados,119.53,4.93,0.89,22.52,0.78,Macarrão,,molho bolognesa
543,Maniçoba,Alimentos preparados,134.22,9.96,8.7,3.42,2.16,Maniçoba,,
544,Quibebe,Alimentos preparados,86.35,8.56,2.67,6.64,1.67,Quibebe,,
545,"Salada, de legumes, com maionese",Alimentos preparados,96.1,1.05,7.04,8.92,2.22,Salada,,"de legumes, com maionese"
546,"Salada, de legumes, cozida no vapor",Alimentos preparados,35.41,2.01,0.31,7.09,2.51,Salada,,"de legumes, cozida no vapor"
547,"Salpicão, de frango",Alimentos preparados,147.86,13.93,7.84,4.57,0.41,Salpicão,,de frango
548,Sarapatel,Alimentos preparados,122.98,18.47,4.42,1.09,,Sarapatel,,
549,Tabule,Alimentos preparados,57.45,2.05,1.21,10.58,2.08,Tabule,,
550,Tacacá,Alimentos preparados,46.89,6.96,0.36,3.39,0.21,Tacacá,,
551,"Tapioca, com manteiga",Alimentos preparados,347.83,0.09,10.91,63.59,0,Tapioca,,com manteiga
552,"Tucupi, com pimenta-de-cheiro",Alimentos preparados,27.18,2.06,0.28,4.74,0.23,Tucupi,,com pimenta-de-cheiro
553,Vaca atolada,Alimentos preparados,144.9,5.12,9.32,10.06,2.34,Vaca atolada,,
554,Vatapá,Alimentos preparados,254.89,6,23.23,9.75,1.7,Vatapá,,
555,Virado à paulista,Alimentos preparados,306.95,10.18,25.59,14.11,2.16,Virado à paulista,,
556,Yakisoba,Alimentos preparados,112.8,7.52,2.61,18.25,1.06,Yakisoba,,
557,"Amendoim, grão, cru",Leguminosas e derivados,544.05,27.19,43.85,20.31,8.04,Amendoim,cru,grão
558,"Amendoim, torrado, salgado",Leguminosas e derivados,605.78,22.48,53.96,18.7,7.76,Amendoim,torrado,salgado
559,"Ervilha, em vagem",Leguminosas e derivados,88.09,7.45,0.47,14.23,9.72,Ervilha,,em vagem
560,"Ervilha, enlatada, drenada",Leguminosas e derivados,73.84,4.6,0.38,13.44,5.08,Ervilha,,"enlatada, drenada"
561,"Feijão, carioca, cozido",Leguminosas e derivados,76.42,4.78,0.54,13.59,8.51,Feijão,cozido,carioca
562,"Feijão, carioca, cru",Leguminosas e derivados,329.03,19.98,1.26,61.22,18.42,Feijão,cru,carioca
563,"Feijão, fradinho, cozido",Leguminosas e derivados,78.01,5.09,0.64,13.5,7.47,Feijão,cozido,fradinho
564,"Feijão, fradinho, cru",Leguminosas e derivados,339.16,20.21,2.37,61.24,23.59,Feijão,cru,fradinho
565,"Feijão, jalo, cozido",Leguminosas e derivados,92.74,6.14,0.51,16.5,13.87,Feijão,cozido,jalo
566,"Feijão, jalo, cru",Leguminosas e derivados,327.91,20.1,0.95,61.48,30.32,Feijão,cru,jalo
567,"Feijão, preto, cozido",Leguminosas e derivados,77.03,4.48,0.54,14.01,8.4,Feijão,cozido,preto
568,"Feijão, preto, cru",Leguminosas e derivados,323.57,21.34,1.24,58.75,21.83,Feijão,cru,preto
569,"Feijão, rajado, cozido",Leguminosas e derivados,84.7,5.54,0.4,15.27,9.32,Feijão,cozido,rajado
570,"Feijão, rajado, cru",Leguminosas e derivados,325.84,17.27,1.17,62.93,24.01,Feijão,cru,rajado
571,"Feijão, rosinha, cozido",Leguminosas e derivados,67.87,4.54,0.48,11.82,4.76,Feijão,cozido,rosinha
572,"Feijão, rosinha, cru",Leguminosas e derivados,336.96,20.92,1.33,62.22,20.63,Feijão,cru,rosinha
573,"Feijão, roxo, cozido",Leguminosas e derivados,76.89,5.72,0.54,12.91,11.51,Feijão,cozido,roxo
574,"Feijão, roxo, cru",Leguminosas e derivados,331.41,22.17,1.24,59.99,33.84,Feijão,cru,roxo
575,"Grão-de-bico, cru",Leguminosas e derivados,354.7,21.23,5.43,57.88,12.36,Grão-de-bico,cru,
576,"Guandu, cru",Leguminosas e derivados,344.13,18.96,2.13,64,21.31,Guandu,cru,
577,"Lentilha, cozida",Leguminosas e derivados,92.64,6.31,0.52,16.3,7.86,Lentilha,cozido,
